,Comp,LA,MIA,NY,PX,alpha
24580,1.389,-0.64,0.043,-0.268,-0.054,-0.0085265442
24660,1.24,-0.389,-0.253,-0.336,0.097,-0.016645587
24780,0.642,-0.299,-0.034,-0.044,0.008,-0.0155064594
24860,0.9,-0.382,-0.122,-0.298,0.118,-0.0092391457
25060,0.071,-0.347,0.076,0.25,0.27,-0.0073887703
25180,0,-0.059,0.125,0.516,0.3,-0.0139540961
25260,0,0.123,0.495,0.142,0.134,-0.0164715909
25420,0,-0.103,0.052,0.13,0.072,-0.0120159399
25500,0,-0.09,-0.117,0.357,0.305,-0.0080649013
25540,0,0.16,-0.282,0.714,0.124,-0.0158670116
25620,0.36,-0.151,-0.154,0.009,0.177,-0.006138875
25860,1.139,-0.461,-0.154,-0.152,0.014,-0.0112467609
25980,0,-0.145,-0.306,1.028,0.281,0.0068518308
26100,2.6,-0.694,-0.13,-1.002,-0.097,-0.0116563041
26180,0,0.17,0.192,0.263,-0.045,-0.002934457
26300,0,-0.43,0.072,0.421,0.201,-0.0043022685
26380,0.348,-0.28,-0.005,-0.018,0.071,0.0062501147
26420,1.126,-0.099,-0.372,-0.484,0.103,0.002743364
26580,0.405,-0.291,0.059,-0.008,0.009,-0.0094216603
26620,0,-0.083,-0.013,0.105,0.057,-0.0157444195
26820,0,-0.166,-0.136,0.28,0.279,-0.0140249592
26900,1.429,-0.424,-0.015,-0.588,-0.102,-0.0155696448
26980,1.063,-0.432,0.083,-0.376,-0.096,-0.0051506876
27060,0,0.123,-0.176,0.257,0.091,-0.0107265664
27100,2.463,-0.771,-0.338,-0.453,0.076,-0.0135740095
27140,0.379,-0.177,-0.048,-0.033,0.087,-0.0119825068
27180,0.563,-0.303,-0.077,-0.166,0.146,-0.0193917174
27260,0,-0.013,0.03,0.45,0.411,-0.005676863
27340,0,-0.194,-0.155,0.476,0.287,-0.0071900746
27500,1.106,-0.626,0.16,-0.252,0.007,-0.0096709168
27620,1.157,-0.399,-0.095,-0.411,-0.006,-0.004880077
27740,0.315,-0.408,0.048,0.135,0.123,-0.0056262574
27780,0,-0.152,-0.176,0.504,0.114,-0.0117448563
27860,0.925,-0.34,-0.096,-0.348,0.025,-0.0106879835
27900,0.769,-0.386,0.047,-0.252,0.014,-0.0089800206
28020,1.747,-0.587,-0.068,-0.484,-0.051,-0.0099654713
28100,0.114,-0.262,0.074,0.199,0.11,-0.0170162289
28140,1.5,-0.465,-0.265,-0.282,0.121,-0.0088890284
28420,0.462,-0.354,0.274,-0.062,-0.198,-0.0111254148
28660,0.445,-0.335,0.22,-0.098,-0.094,-0.0118006696
28700,0.396,-0.205,-0.034,-0.047,0.053,-0.0052667332
28740,0,0.195,-0.015,0.902,-0.098,-0.0086543085
28940,0.096,-0.174,0.089,0.083,0.11,-0.0099478752
29020,2.162,-0.705,-0.313,-0.624,0.062,-0.0185302892
29100,1.178,-0.456,-0.042,-0.257,-0.028,0.001599579
29140,1.619,-0.533,-0.022,-0.71,-0.15,-0.0171935894
29180,0.179,-0.186,0.033,-0.023,0.104,0.0009887026
29340,0.085,-0.039,-0.016,-0.141,0.116,-0.0038159274
29404,1.023,-0.524,0.081,0.243,0.031,-0.0191237704
29420,0,0.287,0.21,0.225,0.303,-0.0191354574
29460,0,-0.01,-0.054,0.395,0.622,-0.0186516946
29540,0,0.027,0.014,0.105,0.089,-0.0130514795
29620,1.962,-0.626,-0.162,-0.313,0.005,-0.0182174034
29700,0,-0.292,0.074,0.301,0.093,-0.0141061066
29740,0,-0.232,0.179,0.208,0.136,-0.0130105379
29820,1.527,-0.073,0.629,-0.84,0.06,-0.0216711669
29940,1.24,-0.518,-0.013,-0.18,-0.038,-0.0010594597
30020,0,-0.141,-0.088,0.233,0.186,-0.0121209017
30140,0,-0.099,0.048,0.061,0.102,-0.0115603243
30300,0,-0.526,0.457,0.032,0.11,0.0020215942
30340,0,0.075,-0.031,0.535,0.122,-0.0153492644
30460,0.818,-0.209,-0.212,-0.092,0.073,-0.0078034761
30620,1.299,-0.492,-0.121,-0.23,-0.017,-0.0134462286
30700,1.377,-0.442,-0.141,-0.471,0.019,-0.0064547809
30780,0.434,-0.267,0.109,-0.071,-0.022,-0.0097601159
30860,1.081,-0.781,0.163,-0.302,0.037,0.0017478031
30980,0.076,-0.018,-0.133,-0.017,0.137,-0.0044377377
31020,0,-0.437,0.093,0.222,0.433,-0.0072509659
31084,0,1.017,0.062,-0.06,0.01,-0.0017247134
31140,1.097,-0.48,-0.009,-0.243,-0.019,-0.0070598501
31180,0.505,-0.22,0.05,-0.119,-0.066,-0.0101240639
31340,0,-0.206,0.083,0.194,0.126,-0.0073702455
31420,0.812,-0.346,-0.047,-0.035,0.023,-0.0205747445
31460,0,0.293,0.598,0.211,0.145,-0.0175419078
31540,0.934,-0.493,0.102,-0.046,-0.026,-0.0003520266
31700,1.384,-0.302,-0.194,0.389,-0.093,-0.0037255128
31740,0.1,-0.024,0.049,-0.029,0.082,0.0021524513
31860,1.469,-0.606,0.048,-0.239,-0.075,-9.52251936779877E-05
31900,1.97,-0.741,-0.014,-0.471,-0.162,-0.0175725674
32580,0.236,-0.177,0.124,-0.052,-0.013,-0.0181937052
32780,0.547,-0.31,0.057,0.495,0.395,-0.0008429884
32820,1.255,-0.389,-0.064,-0.501,0.067,-0.0164740763
32900,2.487,0.012,1.19,-1.616,-0.481,-0.0176329639
33124,0,-0.258,1.419,-0.172,-0.159,0.0042607083
33140,1.329,-0.59,-0.072,-0.217,0.02,-0.0100274575
33260,0,0.113,-0.096,-0.555,0.244,0.0090585579
33340,1.057,-0.508,0.086,0.091,-0.054,-0.0068255594
33460,2.387,-0.667,-0.101,-0.411,-0.096,0.0022165579
33540,0.184,-0.483,0.387,0.284,0.004,0.0120088433
33660,0,-0.253,-0.047,0.305,0.213,-0.0117589902
33700,2.132,0.096,0.619,-0.975,-0.198,-0.0184954588
33740,0.971,-0.374,-0.024,-0.229,-0.074,-0.0011433114
33780,2.884,-0.882,-0.066,-0.89,-0.122,-0.0140551662
33860,0,-0.128,-0.099,0.191,0.223,-0.0201876039
34060,0,-0.371,0.239,0.204,0.166,0.0018456459
34100,0,-0.362,-0.132,0.475,0.387,-0.0098268651
34580,0,-0.266,-0.077,0.535,0.441,-0.0071644211
34620,2.127,-0.58,-0.096,-0.672,-0.235,-0.0166948992
34740,2.175,-0.673,-0.355,-0.436,0.114,-0.0134005344
34820,0,-0.101,-0.209,0.495,0.478,-0.0067549267
34900,2.271,-0.116,-0.188,-0.296,0.017,0.0036146151
34940,0.294,0.139,0.561,0.064,0.287,-0.0032217048
34980,0.681,-0.326,-0.02,-0.327,0.201,-0.000488036
35004,0.306,-0.068,-0.133,1.055,0.011,0.0063984454
35084,0.277,-0.082,0.012,0.776,-0.017,-0.0023568062
35300,0,0.156,-0.098,0.752,0.022,-0.0146002774
35380,0.046,-0.097,0.219,-0.032,0.087,-0.0004860006
35644,0,-0.001,0.003,1.005,-0.008,0.0007697506
35660,1.188,-0.55,0.011,-0.081,-0.017,-0.0068913451
35980,0,-0.027,0.063,0.773,0.008,-0.0148244126
36084,3.99,-0.298,-0.071,-1.583,-0.337,0.0075551228
36100,0,-0.069,0.109,0.533,0.45,-0.0202390636
36140,0,0.034,-0.029,1.017,0.118,0.0071431532
36220,0,0.219,-0.338,-0.461,0.385,0.0049180628
