0,1,2,3,4,5
NJ,0.06614586952444032,0.09049618885278513,0.1067733761849108,0.11707254820032394,0.12302444426424579
NM,0.05139815725708783,0.06878224149181458,0.07770433187093563,0.08092727188096106,0.07993052971573199
NV,0.13065628924466458,0.17188949353042857,0.19294691858868318,0.2012572673811465,0.1965140139046053
NY,0.05020718868545112,0.06883652222467034,0.08168538973151537,0.09000191307095753,0.09464684812009858
OH,0.0323010844900719,0.04266531986056542,0.04956108610707422,0.054003555684883034,0.05639643304477181
OK,0.02041552437614326,0.025226929596794144,0.02764524293359946,0.02869196235525621,0.02819935517039557
OR,0.06912652414560874,0.09246801887005153,0.10342400355064073,0.10607357550962938,0.10252591439690359
PA,0.04033850430759722,0.054933005825066376,0.06421380490830295,0.06955781386529429,0.07212252038252709
RI,0.08072261191940651,0.11023080344048979,0.12939662611662153,0.14100204599608465,0.1468831656816932
SC,0.03546172290940347,0.04678097164685546,0.052994032974448387,0.054788884681803436,0.05410910833949606
SD,0.024877294978602443,0.030925037649482404,0.034743018908129586,0.035637523048858165,0.035150369512551065
TN,0.03261469150179778,0.04254702710420085,0.047551040456192274,0.04872506965467479,0.04735342272912771
TX,0.022747654882463848,0.02889963164273829,0.030808549696196192,0.03022979677806437,0.02804444144790044
UT,0.07207631709570857,0.09441189728205361,0.10284065567800739,0.10187416740340303,0.09388928162290198
VA,0.05989178078285412,0.07896811229900501,0.08989662284914952,0.0955317663675722,0.09766538680027288
VT,0.05049935498741076,0.06398722159055965,0.0741073095306509,0.08044913777718886,0.08431580595788918
WA,0.061134382633923255,0.08310820462281274,0.0929989744018374,0.09578986514171214,0.0933378968156958
WI,0.03595482399785044,0.050421024491057995,0.05958619061577243,0.06474196813474623,0.0672415160738862
WV,0.027605335223306385,0.03471392016942886,0.0382073910435819,0.039365513997051155,0.03850433454425146
WY,0.04492050293032762,0.058166388343366016,0.0652939778397223,0.06742506681548453,0.06669769849955148
"Abilene, TX",0.030682502563782216,0.03093778557605436,0.030355030088297166,0.029128105315954562,0.02695621821271206
"Akron, OH",0.03605488323681626,0.046085752832818704,0.05262966358384397,0.057470340163350286,0.059808231380863455
"Albany, GA",0.02747294992803673,0.03465667539568515,0.03984775386784431,0.04395902215723801,0.04660400307699504
"Albany-Schenectady-Troy, NY",0.054103679216825205,0.07289808451163098,0.08560018931598083,0.09323722584873974,0.09689711027343446
"Albuquerque, NM",0.058238332922646505,0.07667847741559615,0.08500657399209491,0.08720377577962393,0.0845345211416348
"Alexandria, LA",0.027205023955163648,0.02958673683471293,0.03095953062559952,0.0309967665894949,0.03223064212127716
"Allentown-Bethlehem-Easton, PA-NJ",0.05979775535920427,0.08064831466765435,0.09351254952205584,0.1011341742238595,0.10446056720813751
"Altoona, PA",0.04300254530117095,0.04482687735619232,0.04385916662332339,0.042837130235758164,0.03975263078811116
"Amarillo, TX",0.028811353169340685,0.032070233185832596,0.03237918576898972,0.03196282387597733,0.029392206292084624
"Ames, IA",0.029998353126571387,0.03498598464372245,0.03901908953542,0.039624090768624304,0.03983233396438559
"Anchorage, AK",0.0418551324730629,0.048421701209797066,0.051663488580102904,0.053368457621653834,0.053079769831073986
"Anderson, IN",0.025397662464499197,0.029418840108044846,0.03257311294222602,0.03428658645240199,0.03513916126501815
"Anderson, SC",0.030312077951457735,0.03417412932631885,0.037375976306159395,0.03718416729423528,0.03518124615045158
"Ann Arbor, MI",0.05424797692957864,0.07355543427546696,0.08598208535906525,0.09465856077385734,0.0994704299252963
"Anniston-Oxford, AL",0.0378872843134906,0.04370144359308727,0.047783288950542104,0.052072089788012824,0.055888870887781356
"Appleton, WI",0.02621481939902227,0.034838676139769424,0.04012765565520971,0.04375522915563455,0.0457125422561039
"Asheville, NC",0.04043661730568094,0.0544940300033168,0.06191705188812224,0.06572448319900301,0.0667909118666103
"Athens-Clarke County, GA",0.03784337515604365,0.05209467403345531,0.061410142644390986,0.06671686017027703,0.069228848840531
"Atlanta-Sandy Springs-Marietta, GA",0.054666936276191805,0.07024537673306391,0.07933053405751136,0.08443404861632205,0.0852383515255659
"Atlantic City-Hammonton, NJ",0.07856526034204331,0.10688521517638758,0.12383690538127556,0.1334743148030591,0.13768803965424126
"Auburn-Opelika, AL",0.040026389278475315,0.05020895569309071,0.05626238138364701,0.05964265384701195,0.059957322555144035
"Augusta-Richmond County, GA-SC",0.03195665486644351,0.042061802776164975,0.046734587265771156,0.049812681681278954,0.050968468992808165
"Austin-Round Rock, TX",0.04595771321347251,0.05559399721492593,0.055821911641803244,0.048650613375460665,0.03735813802403215
"Bakersfield, CA",0.1359487546638552,0.17642890771529415,0.19582476545573055,0.20181750984647134,0.1965488247537865
"Baltimore-Towson, MD",0.07393461784052589,0.0989738693183311,0.11466512846803525,0.12270247826882898,0.12597259481029827
"Bangor, ME",0.05049957675590423,0.06147670665422023,0.06991954843398432,0.07397121404948742,0.07565365003973297
"Barnstable Town, MA",0.0863999675828911,0.1157188523193479,0.13492753624824275,0.14655061686399928,0.15297672093926765
"Baton Rouge, LA",0.03361013381501873,0.04176310476728502,0.044898674650991365,0.04518049589515099,0.04382213912310517
"Battle Creek, MI",0.04763989743757434,0.06275674429185986,0.07328549973072744,0.08026987232509837,0.08488145731592835
"Bay City, MI",0.053689977425341553,0.06989068857649455,0.08134358052701765,0.09014589992170634,0.09545709754262721
"Beaumont-Port Arthur, TX",0.029750695474124646,0.03562132253826904,0.036656387358464645,0.03576400165905102,0.032974773677118846
"Bellingham, WA",0.0673608220030388,0.08860874372667378,0.10004497841619028,0.10425673174242961,0.10337225313356956
"Bend, OR",0.11334665683639765,0.1473022900738777,0.1604433645265987,0.16074617423510681,0.15190007749648707
"Bethesda-Frederick-Rockville, MD  (MSAD)",0.08357924426653451,0.11100252271965275,0.12633281388237508,0.1345549305711094,0.13741376864613833
"Billings, MT",0.03678152193448249,0.04651864741020613,0.050497533867310804,0.049725558373997156,0.04639401419905302
"Binghamton, NY",0.048059280957202445,0.05961073125983632,0.06671931761711573,0.07022472207494405,0.07142480742142322
"Birmingham-Hoover, AL",0.039782049427487094,0.04953727621998098,0.055236609747842946,0.05738513302782999,0.057198160038603715
"Bismarck, ND",0.022202277035473183,0.025485361047369166,0.029529102299836883,0.03278703930278844,0.032690262819911844
"Blacksburg-Christiansburg-Radford, VA",0.03500568306704713,0.04454501084183581,0.051652420759487824,0.05571244575234454,0.057962949647114924
"Bloomington, IN",0.025351846123004566,0.029134292399611166,0.03103626788104263,0.032239990789276814,0.03133646574317778
"Bloomington-Normal, IL",0.02470679009083853,0.030863339471101654,0.033975710905719894,0.03571264776438108,0.036262053957695085
"Boise City-Nampa, ID",0.09913851429082736,0.12752158504021027,0.13646724414268366,0.13259332807500182,0.1204144258475109
"Boston-Quincy, MA  (MSAD)",0.06902797059408532,0.09163836734231598,0.10692306482039926,0.11634380691812836,0.12189345124883476
"Boulder, CO",0.05469982235846261,0.0713522168829047,0.07792984661327863,0.07770398233161585,0.07416475162477616
"Bowling Green, KY",0.0291245058474941,0.035472329376335286,0.038534052499765076,0.03954996302414415,0.039430065647767555
"Bradenton-Sarasota-Venice, FL",0.12817611970884094,0.16417958683844858,0.18082661428544072,0.18482624244437168,0.18166304169422995
"Bremerton-Silverdale, WA",0.07193493058990624,0.0955918781754206,0.1081681470892169,0.11294548080866217,0.11231617628336368
"Bridgeport-Stamford-Norwalk, CT",0.06586466982185964,0.08760204431966816,0.10258416677214781,0.11225265002281617,0.11822177455370089
"Brownsville-Harlingen, TX",0.029655008701406953,0.028045994451351846,0.025328703947231277,0.02382421314171975,0.023832952896297315
"Brunswick, GA",0.054667389517584444,0.07778246078299592,0.09183939872958122,0.09948656331466547,0.10227308696452782
"Buffalo-Niagara Falls, NY",0.023672916524160544,0.029584059989280258,0.03318476026087117,0.03568797815719748,0.03677402850095384
"Burlington, NC",0.027764268363185414,0.03259152750807891,0.03725384238714312,0.04040049964460926,0.04222936585307915
"Burlington-South Burlington, VT",0.04519396547124084,0.058188976248781166,0.06626694213241549,0.07022189045432857,0.07245638301928065
"Cambridge-Newton-Framingham, MA  (MSAD)",0.061361640369394184,0.08184475791122142,0.09492802712211697,0.10340102577007305,0.10857484195049869
"Camden, NJ  (MSAD)",0.06749109877933139,0.09101366715973093,0.10603503211265293,0.11511852076655918,0.11955457988292494
"Canton-Massillon, OH",0.03614923028190886,0.04812158965382594,0.05670306824588715,0.06276550564012455,0.06682818295443241
"Cape Coral-Fort Myers, FL",0.14729547029071458,0.18747903533283225,0.2043371670834459,0.20648014768524411,0.20039163466840118
