"Rome, GA",840
"Sacramento-Arden-Arcade-Roseville, CA",74066
"Saginaw-Saginaw Township North, MI",2154
"St. Cloud, MN",1668
"St. George, UT",3018
"St. Joseph, MO-KS",1331
"St. Louis, MO-IL",38974
"Salem, OR",6363
"Salinas, CA",12499
"Salisbury, MD",1568
"Salt Lake City, UT",19233
"San Angelo, TX",684
"San Antonio, TX",32905
"San Diego-Carlsbad-San Marcos, CA",112212
"Sandusky, OH",1008
"San Francisco-San Mateo-Redwood City, CA  (MSAD)",60684
"San Jose-Sunnyvale-Santa Clara, CA",63624
"San Luis Obispo-Paso Robles, CA",8815
"Santa Ana-Anaheim-Irvine, CA  (MSAD)",106409
"Santa Barbara-Santa Maria-Goleta, CA",12991
"Santa Cruz-Watsonville, CA",10609
"Santa Fe, NM",2958
"Santa Rosa-Petaluma, CA",18146
"Savannah, GA",5825
"Scranton-Wilkes-Barre, PA",6294
"Seattle-Bellevue-Everett, WA  (MSAD)",62965
"Sebastian-Vero Beach, FL",3827
"Sheboygan, WI",828
"Sherman-Denison, TX",1528
"Shreveport-Bossier City, LA",4756
"Sioux City, IA-NE-SD",1001
"Sioux Falls, SD",1369
"South Bend-Mishawaka, IN-MI",4648
"Spartanburg, SC",3184
"Spokane, WA",6206
"Springfield, IL",1364
"Springfield, MA",7943
"Springfield, MO",3926
"Springfield, OH",2112
"State College, PA",697
"Stockton, CA",22228
"Sumter, SC",982
"Syracuse, NY",4821
"Tacoma, WA  (MSAD)",20577
"Tallahassee, FL",5575
"Tampa-St. Petersburg-Clearwater, FL",88271
"Terre Haute, IN",1538
"Texarkana, TX-Texarkana, AR",808
"Toledo, OH",7723
"Topeka, KS",2311
"Trenton-Ewing, NJ",5872
"Tucson, AZ",20909
"Tulsa, OK",11904
"Tuscaloosa, AL",1636
"Tyler, TX",2120
"Utica-Rome, NY",1953
"Valdosta, GA",825
"Vallejo-Fairfield, CA",17281
"Victoria, TX",822
"Vineland-Millville-Bridgeton, NJ",1792
"Virginia Beach-Norfolk-Newport News, VA-NC",30551
"Visalia-Porterville, CA",10852
"Waco, TX",2074
"Warner Robins, GA",1491
"Warren-Troy-Farmington Hills, MI  (MSAD)",45405
"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSAD)",141688
"Waterloo-Cedar Falls, IA",1031
"Wausau, WI",585
"Weirton-Steubenville, WV-OH",890
"Wenatchee-East Wenatchee, WA",1382
"West Palm Beach-Boca Raton-Boynton Beach, FL (MSAD)",53497
"Wheeling, WV-OH",801
"Wichita, KS",6218
"Wichita Falls, TX",953
"Williamsport, PA",848
"Wilmington, DE-MD-NJ  (MSAD)",11410
"Wilmington, NC",5731
"Winchester, VA-WV",2106
"Winston-Salem, NC",5465
"Worcester, MA",11600
"Yakima, WA",2785
"York-Hanover, PA",5347
"Youngstown-Warren-Boardman, OH-PA",6607
"Yuba City, CA",4467
"Yuma, AZ",2886
